Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.058067e+00,-1.038368e+00
-1.064709e+00,-1.042224e+00
-1.059104e+00,-1.037785e+00
-1.059136e+00,-1.038660e+00
-1.055702e+00,-1.036748e+00
-1.064223e+00,-1.041122e+00
-1.058132e+00,-1.037947e+00
-1.065972e+00,-1.042386e+00
-1.055345e+00,-1.037947e+00
-1.066037e+00,-1.042612e+00
-1.056382e+00,-1.038141e+00
-1.062991e+00,-1.040118e+00
-1.057192e+00,-1.038336e+00
-1.060562e+00,-1.039243e+00
-1.063575e+00,-1.040474e+00
-1.058618e+00,-1.037493e+00
-1.061598e+00,-1.039534e+00
-1.063056e+00,-1.041932e+00
-1.060205e+00,-1.040701e+00
-1.059590e+00,-1.038206e+00
-1.062894e+00,-1.038498e+00
-1.061145e+00,-1.038854e+00
-1.057419e+00,-1.036975e+00
-1.059881e+00,-1.037655e+00
-1.063639e+00,-1.041057e+00
